acc_x[mg],acc_y[mg]
-16.592,243.939
-16.775,243.451
-16.470,243.512
-16.653,243.634
-16.592,243.695
-16.470,243.573
-16.897,243.512
-16.409,243.451
-16.531,243.512
-16.836,243.634
-16.775,243.329
-16.287,243.695
-16.836,243.329
-16.775,243.756
-16.531,243.390
-16.531,243.756
-16.897,243.268
-16.226,243.756
-16.653,243.329
-16.897,243.878
-16.348,243.207
-16.470,243.878
-16.897,243.329
-16.470,243.695
-16.226,243.451
-16.897,243.756
-16.409,243.207
-16.714,243.756
-16.592,243.573
-16.775,243.634
-16.348,243.329
-16.897,243.695
-16.653,243.512
-16.470,243.329
-16.531,243.817
-16.775,243.390
-16.592,243.451
-16.592,243.512
-16.531,243.634
-16.653,243.512
-16.714,243.695
-16.775,243.207
-16.226,243.878
-16.836,243.207
-17.019,243.634
-16.348,243.268
-16.592,243.634
-16.958,243.329
-16.531,243.573
-16.470,243.512
-16.897,243.573
-16.531,243.268
-16.531,243.390
-16.897,243.695
-16.897,243.329
-16.409,243.329
-16.958,243.512
-16.836,243.634
-16.531,243.390
-16.470,243.695
-17.202,243.146
-16.409,243.634
-16.592,243.268
-17.080,243.573
-16.653,243.207
-16.531,243.939
-17.019,243.024
-16.714,243.817
-16.531,243.146
-16.775,243.695
-16.653,243.146
-16.653,243.756
-16.897,243.207
-16.958,243.634
-16.409,243.085
-16.897,243.756
-16.958,243.390
-16.531,243.329
-16.592,243.512
-16.714,243.634
-16.592,243.329
-16.714,243.573
-17.019,243.268
-16.836,243.573
-16.470,243.451
-16.836,243.329
-17.019,243.512
-16.409,243.329
-16.714,243.634
-17.019,243.207
-16.531,243.573
-16.592,243.390
-17.141,243.512
-16.714,243.268
-16.470,243.390
-17.080,243.695
-16.775,243.268
-16.531,243.451
-17.019,243.573
-16.836,243.329
-16.714,243.390
-16.958,243.512
-16.958,243.329
-16.592,243.268
-16.958,243.756
-16.958,243.146
-16.531,243.512
-16.836,243.390
-16.714,243.512
-16.714,243.451
-16.836,243.329
-16.836,243.451
-16.653,243.390
-16.897,243.329
-17.019,243.573
-16.409,243.512
-16.958,243.207
-16.836,243.512
-16.592,243.268
-16.836,243.451
-16.836,243.390
-16.653,243.512
-16.775,243.146
-16.897,243.573
-16.592,243.451
-16.653,243.329
-16.958,243.756
-16.836,243.268
-16.592,243.573
-16.836,243.207
-16.897,243.634
-16.653,243.268
-16.836,243.634
-16.958,243.146
-16.653,243.695
-16.897,243.207
-16.897,243.573
-16.470,243.207
-16.836,243.512
-17.019,243.390
-16.531,243.512
-16.531,243.268
-17.019,243.573
-16.592,243.329
-16.653,243.451
-16.958,243.329
-16.775,243.329
-16.653,243.390
-17.019,243.512
-16.775,243.451
-16.592,243.207
-16.897,243.512
-16.958,243.329
-16.592,243.512
-16.836,243.329
-16.836,243.573
-16.775,243.329
-16.653,243.451
-16.836,243.573
-16.653,243.329
-16.836,243.451
-17.141,243.512
-16.470,243.329
-16.653,243.390
-17.141,243.390
-16.531,243.268
-16.531,243.390
-17.019,243.573
-16.836,243.207
-16.470,243.390
-16.836,243.329
-16.958,243.573
-16.592,243.207
-16.897,243.634
-16.958,243.268
-16.531,243.634
-16.714,243.146
-16.958,243.939
-16.531,243.207
-16.775,243.451
-16.653,243.512
-16.409,243.268
-16.470,243.573
-16.897,243.451
-16.348,243.573
-16.470,243.451
-16.775,243.878
-16.714,243.146
-16.409,243.878
-17.019,243.573
-16.409,243.451
-16.287,243.512
-17.019,243.573
-16.470,243.451
-16.409,243.756
-16.836,243.512
-16.592,243.390
-16.348,243.573
-16.958,243.573
-16.592,243.695
-16.226,243.451
-16.775,243.390
-16.836,243.756
-16.226,243.390
-16.653,243.512
-16.714,243.817
-16.348,243.329
-16.775,243.512
-16.775,243.756
-16.409,243.634
-16.592,243.329
-16.592,243.817
-16.592,243.268
-16.409,243.817
-16.470,243.451
-16.653,243.634
-16.409,243.390
-16.775,243.756
-16.714,243.390
-16.348,243.756
-16.531,243.390
-16.714,243.512
-16.470,243.573
-16.531,243.512
-16.775,243.634
-16.409,243.451
-16.531,243.756
-16.958,243.451
-16.409,243.573
-16.592,243.390
-16.775,243.695
-16.531,243.268
-16.592,243.573
-16.836,243.451
-16.287,243.451
-16.470,243.451
-16.836,243.573
-16.470,243.512
-16.592,243.634
-16.592,243.451
-16.531,243.512
-16.531,243.573
-16.653,243.634
-16.592,243.573
-16.348,243.512
-16.592,243.695
-16.775,243.390
-16.348,243.512
-16.653,243.634
-16.714,243.634
-16.470,243.329
-16.531,243.634
-16.653,244.000
-16.165,243.268
-16.836,243.756
-16.714,243.573
-16.226,243.817
-16.531,243.329
-16.836,244.061
-16.348,243.390
-16.165,244.000
-16.958,243.268
-16.653,243.878
-16.348,243.146
-15.921,242.963
-22.692,256.627
22.082,176.656
-13.298,130.174
26.413,35.136
-133.773,116.449
16.836,-59.231
172.142,-20.862
-37.881,-98.942
-47.336,-109.800
7.686,-42.517
6.344,-39.345
4.697,-37.149
3.904,-35.685
9.455,-46.116
6.039,-41.114
1.586,-34.343
10.004,-47.458
7.381,-39.894
94.428,208.742
-3.660,-58.316
-110.288,-118.157
119.377,-40.809
-42.700,-37.881
-50.569,-89.670
-122.732,-75.213
-69.906,-24.644
-87.596,-68.137
-72.041,-39.345
-68.930,-35.136
-66.856,-30.866
-67.588,-30.927
-67.344,-31.354
-67.283,-30.866
-3.782,96.807
-43.920,-8.052
-97.112,-46.604
-47.763,-52.887
-144.326,-92.964
-90.524,-97.722
-38.491,16.409
-49.105,-54.595
0.305,-43.615
12.688,33.123
-3.172,-87.596
120.475,-167.018
-7.503,-142.069
-7.320,-146.705
96.502,-141.825
-88.511,130.906
70.516,63.074
30.317,70.028
-32.574,35.441
32.940,-20.313
0.732,1.891
-2.928,-46.421
-11.529,-39.223
-37.759,6.466
-33.062,-55.632
20.313,-24.766
-19.703,-77.897
8.601,5.795
18.544,-86.071
-4.392,14.823
-68.259,-61.549
7.625,-83.204
33.489,-63.379
67.222,33.550
-24.888,-225.517
-27.145,49.166
51.972,-31.110
-100.833,-23.668
-74.969,-0.610
65.514,146.095
79.910,-32.208
89.670,-17.751
94.001,-4.697
123.586,40.260
53.070,-1.891
84.058,-225.700
-39.772,-19.093
-51.911,115.412
-52.399,-47.397
81.862,276.757
-598.837,-58.072
-202.276,141.398
-314.577,-0.366
-201.727,44.835
-136.884,28.792
-220.637,-82.289
-57.828,78.507
-86.010,-92.171
-156.709,-67.161
-92.476,-97.844
-296.582,-215.269
-239.974,-145.424
-304.634,-226.615
-402.966,-62.891
-698.145,-179.279
-525.332,-163.541
-883.890,-164.883
-876.448,-229.116
-871.812,-168.970
-849.669,-173.911
-867.054,-130.906
-931.348,-168.970
-715.652,-195.932
-696.986,-145.790
-842.776,-249.002
-759.328,-289.079
-786.656,-321.958
-969.351,-349.103
-343.247,-211.731
-452.010,-457.012
-555.588,-305.305
22.814,-243.756
-146.644,-344.772
114.924,-193.065
-11.895,-280.539
-7.320,-222.711
16.592,-279.990
-20.984,-267.302
112.240,-240.035
-14.762,-296.094
4.148,-235.155
48.495,-258.213
30.805,-257.908
22.997,-241.377
15.860,-246.440
20.618,-248.758
-14.152,-267.058
-29.402,-273.280
-41.541,-292.007
-102.114,-284.016
-228.384,-136.701
-249.917,-330.925
-92.964,-205.021
-413.519,-121.878
-433.527,-81.618
-423.279,-99.674
-416.386,-60.756
-428.098,-186.050
-353.678,-161.894
-530.517,-236.253
-400.282,-283.833
-426.512,-278.282
-356.118,-285.297
-315.309,-341.173
-301.340,-374.540
-224.846,-363.377
-285.053,-378.932
-127.246,-422.913
-170.983,-421.815
-253.699,-490.074
-252.662,-373.076
-388.448,-469.517
-453.352,-542.412
-380.274,-336.781
-646.783,-466.284
-716.018,-478.423
-683.627,-414.800
-955.504,-641.232
-750.605,-143.167
-701.317,-355.264
-872.300,-550.464
-888.953,-344.406
-867.603,-371.734
-993.629,-443.897
-1027.057,-409.432
-966.484,-361.669
-950.319,-345.931
-911.645,-309.697
-829.783,-161.772
-1025.166,-297.741
-1100.318,-365.268
-708.027,-1.525
-372.039,-145.485
59.109,95.770
216.184,25.742
437.614,64.233
414.068,-51.545
417.057,-153.415
445.666,-93.940
456.219,-165.920
609.512,-48.800
448.167,-107.604
556.198,-110.593
522.404,-93.513
436.943,-145.302
549.000,-105.286
482.693,-122.915
533.872,-114.863
530.395,-115.961
495.198,-125.416
500.688,-147.315
385.276,-162.992
215.025,-86.620
-327.448,-110.410
-767.746,-415.959
-482.754,-145.729
-816.302,-244.244
-1101.294,-341.112
-1086.837,-334.280
-1000.522,-236.192
-1093.059,-246.013
-989.542,-199.226
-984.845,-199.653
-985.150,-208.376
-893.284,-152.744
-938.607,-168.055
-948.977,-172.081
-862.052,-140.361
-964.593,-195.566
-1084.946,-316.956
-795.135,-258.335
-610.366,-228.628
-735.416,-258.030
-311.466,-205.753
147.986,-82.777
404.918,-81.435
615.063,62.891
646.661,160.796
752.618,204.777
666.364,258.274
849.059,323.178
722.606,391.864
689.178,509.289
776.957,513.437
623.176,505.141
605.364,462.441
437.004,533.811
487.268,706.746
460.916,385.703
317.261,527.467
334.280,526.003
421.510,594.140
409.066,635.437
408.151,611.464
425.414,576.145
347.151,545.523
434.503,550.525
355.508,485.804
378.993,485.194
411.018,481.229
344.223,425.048
355.325,427.793
383.812,448.472
334.585,446.215
237.046,460.428
254.919,499.102
265.350,365.512
264.435,265.411
239.242,126.087
149.938,-100.101
-25.132,-81.191
-119.316,-42.151
27.572,-293.288
1179.984,-687.409
83.509,-142.069
-114.375,-115.046
-116.754,68.625
89.731,241.865
122.000,21.716
55.998,4.941
36.966,-2.196
36.722,-1.891
36.417,-1.708
36.539,-2.196
36.844,-1.891
36.478,-1.708
36.600,-2.257
36.722,-1.891
36.600,-1.891
36.539,-1.952
36.661,-1.891
36.722,-1.647
36.600,-2.196
36.600,-2.074
36.539,-1.708
36.722,-1.952
36.356,-2.257
36.783,-1.769
36.600,-1.647
36.600,-2.196
36.722,-1.952
36.783,-1.769
36.417,-2.013
36.600,-2.013
36.783,-1.769
36.783,-2.013
36.539,-1.952
36.966,-1.891
36.722,-2.013
36.173,-1.891
37.576,-1.891
36.661,-2.013
36.600,-2.013
36.844,-1.586
37.271,-2.074
36.600,-2.196
36.600,-1.647
37.088,-2.074
37.149,-2.257
36.295,-1.830
36.783,-1.952
37.027,-2.196
36.661,-2.013
36.478,-1.830
37.210,-2.135
36.661,-2.074
